"site","plot","stab.com","stab.pop","asyn","SAE","CPE.env","CPE.int","richness","shannon","inv.simpson","evenness","CPE.env.LB","CPE.env.UB","CPE.int.LB","CPE.int.UB"
"SGS","SGS_UNUN_19_10",1.69035754905539,0.706735408685039,2.39178273549431,2.40676797808187,0.907332760603378,1.10538942604543,3,1.63719766955679,3.9946200213335,0.682764459369471,0.761247170201984,1.08752258578766,0.913795926632825,1.30547161086389
"SGS","SGS_UNUN_19_11",2.03034142756041,0.66816841383455,3.03866717660072,2.26343629492077,1.01187851407746,1.33967839843056,2.64285714285714,1.53469360037016,3.27111915059971,0.698469157955044,0.835160197549789,1.1872146470055,1.13081665169168,1.60760697787636
"SGS","SGS_UNUN_19_12",1.39728080225279,0.690326867384193,2.02408578931225,1.73934463448522,0.999250583013866,1.16937948066971,2.5,1.13349220593489,2.00588672444161,0.545094528129518,0.862458959964169,1.12280479268665,1.03643238739538,1.34934605473678
"SGS","SGS_UNUN_19_13",1.97074764362385,0.63213786962082,3.11759149124538,2.1467995091902,0.971096817145072,1.50565379783181,2.64285714285714,1.43529934975684,2.8948012396353,0.598566320238762,0.862623586111914,1.1428985767761,1.27065717684589,1.68371637412163
"SGS","SGS_UNUN_19_14",1.36779414211525,0.618028727630261,2.21315625142516,1.89936572571845,1.00169819045603,1.16858305941171,2.42857142857143,1.25359820815336,2.02701647409904,0.504485030960946,0.887829889124801,1.13262546312417,1.02878217994015,1.31243625543128
"SGS","SGS_UNUN_19_15",1.80656092981268,0.699422181834461,2.58293342237787,1.77430385487804,1.04095975076924,1.40982740906356,2.35714285714286,1.12257608891119,2.12525964939727,0.576889991275379,0.882078260073907,1.21866354414763,1.19454194130497,1.65043820868124
"SGS","SGS_UNUN_19_16",1.35086772457099,0.51841991961935,2.6057403920028,2.62754038888764,0.983021457962478,1.02394662392663,2.92857142857143,1.93135845769514,5.03719613593024,0.777235820049785,0.771733087154755,1.24459417350982,0.79693561380511,1.28512227392321
"SGS","SGS_UNUN_19_17",1.60647908216373,0.551587496155731,2.91246464678773,2.12912430975035,1.01034304207344,1.36981079677011,2.21428571428571,1.44109909379597,3.15433068341309,0.69302217201634,0.86699119400209,1.2549605180253,1.09007470176851,1.57777492798787
"SGS","SGS_UNUN_19_18",1.79302662846831,0.602624697827511,2.97536200380145,2.24018789827305,0.993880255245381,1.35227525257165,2.78571428571429,1.58011339046647,3.35079231765524,0.658958465947707,0.830266265941164,1.21084804913729,1.09689811368813,1.59971976700312
"SGS","SGS_UNUN_19_19",1.41979968488413,0.578999783173305,2.45215926870072,2.1311846781247,0.963598688658686,1.2041794305541,2.07142857142857,1.38841316318702,2.52928790010725,0.579013261728785,0.788138592714204,1.12272401801131,1.02483684126788,1.45996650993857
"SGS","SGS_UNUN_19_2",1.57543786983569,0.5599845549952,2.81335950390488,2.21727232324084,1.00931510316757,1.27307036519824,2.64285714285714,1.52417507164415,3.24132050907874,0.732973272435864,0.828069507736423,1.31199321650744,0.967460131337427,1.53230124968569
"SGS","SGS_UNUN_19_20",1.40768936219881,0.707550502052425,1.98952492877252,1.86732312179078,0.991997081177991,1.07925539770012,2.5,1.21509127016943,2.19654103678537,0.527707433643395,0.862583986937209,1.12134043663155,0.950168760764204,1.23564434551104
"SGS","SGS_UNUN_19_4",1.43930856063466,0.662167988994846,2.17363053568853,1.8203924825731,1.00063174942203,1.19907738202392,2.57142857142857,1.22440751163411,2.1365813490702,0.588815548353909,0.899576150479284,1.14149426031929,1.04606453884033,1.3273426073652
"SGS","SGS_UNUN_19_5",2.02858524835974,0.588416125746708,3.44753510245056,2.12587084257795,0.98768510354815,1.66358183323727,2.5,1.50353797470308,3.31763112898793,0.65297824574554,0.817045160257602,1.24994295775651,1.29742315527395,1.98491982491664
"SGS","SGS_UNUN_19_6",1.75811630522512,0.740537374771904,2.37410880952045,2.11317292566775,0.990651318343795,1.14017372037589,2.92857142857143,1.39479139354226,2.54387010506208,0.581673190386885,0.852022516117773,1.12112018038202,1.00211591707798,1.31869116039995
"SGS","SGS_UNUN_19_7",1.8677363287585,0.620777972617505,3.00870264594475,2.06142289078503,0.977991060116047,1.50294682025145,2.28571428571429,1.39966927662517,3.05508448470581,0.719287721123543,0.834816837756855,1.21615018458128,1.20015193487101,1.74837256182543
"SGS","SGS_UNUN_24_1",1.8921488517845,0.592129130368188,3.19550036426676,2.30059142967102,0.994259683717179,1.41148550035946,2.57142857142857,1.46046056771214,2.7186070591641,0.634269965594674,0.826481764818844,1.24298684654539,1.11747646222897,1.6806206405205
"SGS","SGS_UNUN_24_11",2.32137850992195,0.706411753083833,3.28615499358271,2.4139388293412,0.972343191395277,1.41310643138673,3,1.45375087795043,2.59991977170884,0.566775665071676,0.830789997812427,1.18499033577884,1.1488913695049,1.6386269982649
"SGS","SGS_UNUN_24_12",2.13280364625965,0.737470570195601,2.89205255430594,2.27736902485132,1.01083829102172,1.26943920489461,3.42857142857143,1.50134273960753,3.05258682723218,0.604184764741811,0.834087080179482,1.21087939545058,1.04904148645857,1.52253401388823
"SGS","SGS_UNUN_24_13",1.86478302300273,0.704262335661083,2.64785283633304,2.22455493952436,0.981220322532932,1.22861597314809,3.07142857142857,1.37034360440326,2.44935304372931,0.551466834587193,0.772269666922235,1.21802536767021,0.977277069040584,1.54128633452159
"SGS","SGS_UNUN_24_14",2.99931805969944,0.863986005323948,3.47148916905762,2.13354980509744,0.99021230643784,1.66746954619708,3.5,1.45101241529693,3.15066255043893,0.66038420936291,0.814418293268214,1.25437292901535,1.29773156837643,1.99786935659155
"SGS","SGS_UNUN_24_15",2.2321209723324,0.978137955964778,2.28201038383258,2.0087431408255,0.998263335922306,1.14634390164376,3.21428571428571,1.05701819533066,1.7689671596513,0.440810825777688,0.861682039651123,1.17506966001311,0.966891876551929,1.31848512589958
"SGS","SGS_UNUN_24_16",1.65751427987475,0.643606280757987,2.57535441997654,2.34664066980186,1.00929141148833,1.0981311876519,3.5,1.64715068518465,3.08475686517863,0.64217668874944,0.867112582333471,1.24757081627873,0.88004863841406,1.26566978881866
"SGS","SGS_UNUN_24_18",1.90072735442606,0.777734690953219,2.44392769994155,1.995048610808,0.988241732245639,1.25008699764549,2.92857142857143,1.1710965874312,2.14409343497237,0.5086007856971,0.834630250619586,1.17862249191902,1.03935482286417,1.46777314915687
"SGS","SGS_UNUN_24_19",1.95757146752931,0.583522609844271,3.35474827282485,2.30014676951952,1.04317380492069,1.42064164797162,3.35714285714286,1.63515700712942,3.62174555766736,0.637500698550902,0.818386399255592,1.34061475527953,1.08794185101701,1.7821685950442
"SGS","SGS_UNUN_24_20",1.63234299834759,0.780734553953163,2.09077847276313,2.13690484805259,0.969913297828859,1.01610759472428,3.57142857142857,1.54000213862806,3.21176539454799,0.668814430925371,0.829943390664316,1.15778802749935,0.845078228510368,1.1789616273629
"SGS","SGS_UNUN_24_3",1.970659180591,0.731860005186783,2.69267232342892,2.42135553598199,0.992477933666783,1.13330505985755,4.28571428571429,1.66132881567811,3.1254453448308,0.629516000669947,0.817354899945809,1.26651513338817,0.878066618038056,1.36054975961908
"SGS","SGS_UNUN_24_4",1.88844881347823,0.747739545888366,2.52554358514585,1.90983760859075,0.993235964203047,1.33854600923825,3,1.26439547889477,2.36776777547647,0.549119979427418,0.868319565070537,1.13310368029668,1.16707120573881,1.52292617509473
